Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
29,,,593022.415,4139637.643,324.951,node pt name -2,-79.94902375,37.39884863,324.951,Global,0.015,0.012,0.032,0.019,2.134,m,FIX,RTK,2026-05-28 13:48:01.4 UTC-04:00,2026-05-28 13:48:11.4 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,52.317,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
30,,,593022.863,4139639.538,325.068,node pt name -2,-79.94901846,37.39886566,325.068,Global,0.011,0.014,0.024,0.018,2.134,m,FIX,RTK,2026-05-28 13:48:27.6 UTC-04:00,2026-05-28 13:48:37.6 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,54.183,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
31,,,593023.304,4139641.537,325.202,node pt name -2,-79.94901323,37.39888363,325.202,Global,0.026,0.013,0.028,0.029,2.134,m,FIX,RTK,2026-05-28 13:48:48.0 UTC-04:00,2026-05-28 13:48:58.0 UTC-04:00,51,1.7,2.0,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,56.184,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
32,,,593023.683,4139643.414,325.378,node pt name -2,-79.94900870,37.39890051,325.378,Global,0.011,0.011,0.024,0.015,2.134,m,FIX,RTK,2026-05-28 13:49:15.2 UTC-04:00,2026-05-28 13:49:25.2 UTC-04:00,51,2.0,2.4,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,58.049,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
33,,,593024.068,4139645.382,325.783,"node pt name -2, moving out of bed into forest floor",-79.94900411,37.39891821,325.783,Global,0.015,0.013,0.029,0.020,2.134,m,FIX,RTK,2026-05-28 13:49:57.8 UTC-04:00,2026-05-28 13:50:07.8 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,60.024,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
34,,,593024.493,4139647.283,326.317,node pt name -2,-79.94899907,37.39893530,326.317,Global,0.014,0.016,0.027,0.022,2.134,m,FIX,RTK,2026-05-28 13:50:30.6 UTC-04:00,2026-05-28 13:50:40.6 UTC-04:00,50,1.5,1.8,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,61.947,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
35,,,593024.818,4139649.264,326.628,node pt name -2,-79.94899515,37.39895312,326.628,Global,0.011,0.017,0.021,0.020,2.134,m,FIX,RTK,2026-05-28 13:50:56.8 UTC-04:00,2026-05-28 13:51:06.8 UTC-04:00,51,1.9,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,63.937,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
36,,,593025.167,4139651.193,326.999,node pt name -2,-79.94899096,37.39897047,326.999,Global,0.018,0.028,0.031,0.034,2.134,m,FIX,RTK,2026-05-28 13:51:36.4 UTC-04:00,2026-05-28 13:51:46.4 UTC-04:00,51,1.7,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,65.936,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
37,,,593025.572,4139653.134,327.218,node pt name -2,-79.94898614,37.39898792,327.218,Global,0.014,0.014,0.023,0.020,2.134,m,FIX,RTK,2026-05-28 13:52:02.8 UTC-04:00,2026-05-28 13:52:12.8 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,67.844,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
38,,,593026.048,4139655.034,327.465,node pt name -2,-79.94898053,37.39900500,327.465,Global,0.014,0.013,0.021,0.019,2.134,m,FIX,RTK,2026-05-28 13:52:52.6 UTC-04:00,2026-05-28 13:53:02.6 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,69.763,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
