Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
35,,,,,,node pt name -2,-79.94897039,37.39900576,317.754,Global,0.007,0.017,0.020,0.018,2.134,m,FIX,RTK,2026-05-28 13:50:56.8 UTC-04:00,2026-05-28 13:51:06.8 UTC-04:00,51,1.9,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,63.937,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
36,,,,,,node pt name -2,-79.94896645,37.39902339,318.048,Global,0.018,0.025,0.026,0.031,2.134,m,FIX,RTK,2026-05-28 13:51:36.4 UTC-04:00,2026-05-28 13:51:46.4 UTC-04:00,51,1.7,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,65.936,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
37,,,,,,node pt name -2,-79.94896136,37.39904057,318.309,Global,0.011,0.010,0.013,0.015,2.134,m,FIX,RTK,2026-05-28 13:52:02.8 UTC-04:00,2026-05-28 13:52:12.8 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,67.844,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
38,,,,,,node pt name -2,-79.94895552,37.39905757,318.375,Global,0.007,0.009,0.019,0.011,2.134,m,FIX,RTK,2026-05-28 13:52:52.6 UTC-04:00,2026-05-28 13:53:02.6 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,69.763,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
39,,,,,,node pt name -2,-79.94895104,37.39907514,318.801,Global,0.014,0.008,0.021,0.016,2.134,m,FIX,RTK,2026-05-28 13:53:13.6 UTC-04:00,2026-05-28 13:53:23.6 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,71.776,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
40,,,,,,node pt name -2,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 13:53:50.6 UTC-04:00,2026-05-28 13:54:00.6 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,73.731,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
41,,,,,,node pt name -2,-79.94894187,37.39911041,319.182,Global,0.008,0.010,0.016,0.012,2.134,m,FIX,RTK,2026-05-28 13:54:24.0 UTC-04:00,2026-05-28 13:54:34.0 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,75.708,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
42,,,,,,"node pt name -1, skipped 40",-79.94893311,37.39914575,319.556,Global,0.008,0.014,0.017,0.016,2.134,m,FIX,RTK,2026-05-28 13:56:49.0 UTC-04:00,2026-05-28 13:56:59.0 UTC-04:00,51,2.2,2.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,79.683,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
43,,,,,,node pt name -1,-79.94892942,37.39916245,319.657,Global,0.006,0.006,0.014,0.009,2.134,m,FIX,RTK,2026-05-28 13:57:16.0 UTC-04:00,2026-05-28 13:57:26.0 UTC-04:00,51,1.6,1.9,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,81.555,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
44,,,,,,node pt name -1,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 13:57:41.6 UTC-04:00,2026-05-28 13:57:51.6 UTC-04:00,51,1.6,1.9,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,83.581,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
